原文,中译,属性,人物与另一词条相等情况,人物所属另一词条（团体）,作品所属另一词条（作者）,作品所属另一词条（专辑）（单曲或章节等情况下）,作品年份,mimida,翻译来源及注释（mimida）,Tian Tang,翻译来源及注释（Tian Tang）,redhousepainter,翻译来源及注释（redhousepainter）,Lil Bag,翻译来源及注释（Lil Bag）
Run-DMC,Run-DMC,乐人,,,,,,,,,,Run-DMC,这个从来没人翻译过，直接用,,
MC Hammer,MC汉默,乐人,,,,,,MC汉默,,,,,,,
Talking Heads,头部特写,乐人,,,,,,头部特写,https://www.neatorama.com/2009/04/08/music-tidbits-talking-heads/,,,,,,
Devo,退化,乐人,,,,,,退化,,,,,,,
Pet Shop Boys,宠物店男孩,乐人,,,,,,宠物店男孩,,,,,,,
Nirvana,涅槃,乐人,,,,,,涅槃,,,,,,,
De La Soul,迪拉索,乐人,,,,,,迪拉索,也可以叫“来自灵魂”、“灵魂深处”，因为“De La = of/from”，见：https://www.spanishdict.com/answers/123894/what-does-the-contractions-del-and-de-la-mean，但暂且音译,,,德拉灵魂,这个之前国内以前好像一直翻成“德拉灵魂”,德拉索,
A Tribe Called Quest,探索一族,乐人,,,,,,探索一族,台译：http://www.willmusic.com.tw/SalePage/Index/5349680?cid=290199,探索一族,"Originally the group was just called Quest. After meeting the Jungle Brothers, Afrika Baby Bam heard Q-Tip introduce himself on a demo track as being ""from a group called Quest"" and told him to say he was from ""a tribe called Quest"" and the name stuck.",探索一族,台译很贴切了，就照着用。如果加注释的话可以说一下缘起：最早他们几个人取的乐团名只是一个单词quest。在制作【black is black】这首单曲时，前来造访的朋友提议在quest前面加上a tribe called，正好完美无缺。,,
The Brand New Heavies,新重骑兵,乐人,,,,,,新重骑兵,台译：https://www.ccr.com.tw/Artist/47554,,,,,,
Incognito,匿名者,乐人,,,,,,匿名者,台译：https://www.ccr.com.tw/Artist/15604,,,,,,
Dr. Dre,德瑞医生,乐人,,N.W.A,,,,德瑞博士,"“doctor for sick beats”的说法由来已久，dre早期也穿着手术服表演过。但按照dre.后来获得名誉博士学位时他自己的说法是“The truth is, my mother always wanted me to be a doctor, but I never had the grades. So I took the name “Dr. Dre” instead. I thought it would be easier to build a five-hundred-million-dollar entertainment empire and hope that one day a school would award me an honorary doctorate. Today is the day that happened.” https://answers.yahoo.com/question/index?qid=20120129194758AA9g1LU 另外维基百科上说“Dre的Doctor意为向NBA球员Dr. J致意”，J的情况是指“博士”。
Netflix《Hip Hop Evolution》里也是翻成博士。",,,德瑞医生,dr.dre早年参加过一支乐团叫World Class Wreckin Cru，他们有支单曲叫【surgery】，从这首曲名和其中的说唱内容来看，叫医生更准确。,德瑞医生,
P-Funk,P-放克,乐人,,,,,,P-放克,,,,,,,
George Clinton,乔治·克林顿,乐人,,"Parliament, Funkadelic",,,,乔治·克林顿,,,,,,,
Parliament,百乐门,乐人,,,,,,百乐门,维基上说名称来源“Parliament”香烟，香烟通常译作“百乐门”：https://en.wikipedia.org/wiki/Parliament-Funkadelic,,,百乐门,george在建立乐团之初请来了不少歌手，严格来说是一支合唱组合。当时的合唱组合喜欢以鸟名，汽车品牌，香烟品牌命名，george考虑到香烟带着一点成人感和危险感，是一种挺酷的标志，而Parliament是当时著名的香烟品牌，于是就借来用作乐团名。,,
Funkadelic,放克疯,乐人,,,,,,放克疯,港译：https://books.google.de/books?id=C03kDQAAQBAJ&pg=PA123&lpg=PA123&dq=Funkadelic+%E6%94%BE%E5%85%8B%E7%96%AF&source=bl&ots=baCCTMIYfq&sig=ACfU3U21uF8kOZAwuxy4fYuto9sEJbgkCw&hl=zh-CN&sa=X&ved=2ahUKEwiBvJqdmufiAhUSZlAKHdCEANAQ6AEwB3oECAkQAQ#v=onepage&q=Funkadelic%20%E6%94%BE%E5%85%8B%E7%96%AF&f=false,,,,,,
The Game,游戏,乐人,,,,,,游戏,来源：https://www.billboard.com/articles/columns/the-juice/1555884/20-stories-behind-rappers-stage-names-waka-flocka-jay-z-more,The Game,The Game (全称带the）另，随便一说，在黑哥世界，他们总描述自己的生活，像是一个game，不能直说游戏，在The Wire里，他们举了个例子，就像国际象棋（chess game），游戏里存在着规则，也存在着生存和死亡。。你不遵守规则，就玩不下去，您没走好一步，面临的就是出局。这有一丝丝中文世界里“江湖”的感觉。,,,游戏,台湾叫“游戏玩家” 我觉得不够劲儿，还不如游戏
The Beatles,披头士,乐人,,,,,,披头士,,,,,,,
Nujabes,Nujabes,乐人,,,,,,,,,,Nujabes,没法翻译。他日文名叫瀬场润（瀬葉淳），用罗马音拼是seba jun，倒过来了就是nujabes,,
N.W.A,N.W.A,乐人,,,,,,N.W.A,展开来是“有态度的黑鬼”,,,,,,
Clive Campbell,克利夫·坎贝尔,乐人,,,,,,克利夫·坎贝尔,,,,,,,
Kool Herc,酷赫克,乐人,Clive Campbell,,,,,库尔·赫克,,,,,,酷赫克,
James Brown,詹姆斯·布朗,乐人,,,,,,詹姆斯·布朗,,,,,,,
Bobby Byrd,鲍比·拜尔德,乐人,,,,,,鲍比·拜尔德,,,,,,,
The Honeydrippers,甜如蜜合唱团,乐人,,,,,,甜如蜜合唱团,,甜如蜜合唱团,"甜如蜜更贴切。或者甜蜜小子。The term ""honeydripper"" was black slang for a ""sweet"" guy, and had already been adopted as a nickname by blues pianist Roosevelt Sykes.",,,,
The Honey Drippers,甜如蜜,乐人,,,,,,甜如蜜,,,,,,,
